,star_names,distance,mass,radius,luminosity,,star_name,distance,mass,radius
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,2.1,1.71Â´,25.4,123,2m 1237+6526,45.6,41,0.94
2,Canopus,0310,15,71,"13,500"
3,Alpha Centauri,0004.4,1.1,1.2,2,351,2m1510,120,40 + 39 +Â ?,
4,Arcturus,0037,1.1,26,170
5,Vega,0025,2.2,2.7,50,44,2masp j0345432+254023,88,74,1.05
6,Capella,0043,2.6,12,150
7,Rigel,0860,23,78.9,"120,000",10,2mass 0036+1821,28.6,42,0.94
8,Procyon,0011.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000",63,2mass 0532+8246,81,83,
10,Achernar,0144,6.7,9.3,"3,000"
11,Hadar,0390,10.5,8.6,"42,000",95,2mass 0939âˆ’2448,17.4,32,0.95
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,18,8.9,"25,000",143,2mass 1503+2525,20.7,44,0.94
14,Aldebaran,0065,1.5,44,520
15,Antares,0600,12,680,"75,000",146,2mass 1507âˆ’1627,23.9,60,0.99
16,Spica,0260,11.43,7.47,"20,512"
17,Pollux,0034,1.9,8.8,43,14,2mass j00034227-2822410,,,
18,Fomalhaut,0025,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"200,000",1,2mass j00040288-6410358,192,19,1.63
20,Mimosa,0350,16,8.4,"34,000"
21,Regulus,0077,3.8,3.1,290,3,2mass j00242463-0158201,37.7,79,1.09
22,Adhara,0430,12.5,14,"39,000"
23,Shaula,0700,14.5,8.8,"36,000",4,2mass j00250365+4759191ab,143,,
24,Castor,0052,2.8,2.4,30
25,Gacrux,0088,1.5,84,820,5,2mass j00274197+0503417,236,31,1.44
26,Bellatrix,0240,8.6,5.8,"9,200"
27,Elnath,0130,5.0,4.2,700,6,2mass j00275592+2219328,46.9,,
28,Miaplacidus,0110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"380,000",8,2mass j00332386-1521309â [de],131,29,1.43
30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,Alnair,0101,4.0,3.4,260,9,2mass j00345157+0523050,31,42,0.94
32,Alioth,0081,2.9,4.2,110
33,Alnitak,01050,33,20,"120,000",13,2mass j00501994-3322402â [de],34,40,0.94
34,Dubhe,0120,4.25,30,300
35,Mirfak,0590,8.5,68,"5,000",15,2mass j00584253-0651239â [de],96,29,1.43
36,Wezen,"1,600",17,200,"82,000"
37,Sargas,0270,5.7,26,"1,800",20,2mass j01415823-4633574â [de],130,20,1.61
38,Kaus Australis,0140,3.5,6.8,360
39,Avior,0630,9.0,130,"60,000",26,2mass j02103857-3015313,101,15,1.53
40,Alkaid,0104,6.1,3.4,"1,350"
41,Menkalinan,081,2.39,2.77,50,27,2mass j02340093-6442068,155,20,1.62
42,Atria,0390,7,92,"5,500"
43,Alhena,0109,2.8,3.3,120,28,2mass j02411151-0326587â [de],152,27,1.41
44,Peacock,0180,5.9,4.8,"2,200"
45,Alsephina[2],0080,2.4,2.9,90,29,2mass j02431371âˆ’2453298,35,33,0.99
46,Mirzam,0500,13.5,10,"27,000"
47,Polaris,0430,5.4,39,"2,500",31,2mass j02511327+0047364,,,
48,Alphard,0180,3.0,50,780
49,Mintaka,01200,24,16.5,"190,000",33,2mass j02535980+3206373,184,65,1.9
50,Scheat,0196,2.1,95,"1,500"
51,Almaaz,0653,15,140,"43,000",36,2mass j03185403-3421292â [de],45,49,0.97
52,Rasalgethi,0360,2.8,280,"8,300"
53,Tau Ceti,011.9,0.783,0.893,0.52,37,2mass j03205965+1854233,47,88,1.15
54,Delta Pavonis,019.92,0.991,1.22,1.22
